Sample_Set,Ecoregion,Land_Use,Current_Vegetation,Collection_Date
60886_3,Prairie Peninsula,Row Crops,Maize,9/17/2023
60886_4,Prairie Peninsula,Row Crops,Maize,9/17/2023
60886_5,Prairie Peninsula,Row Crops,Maize,9/17/2023
60886_6,Prairie Peninsula,Row Crops,Maize,9/17/2023
60938_1,Prairie Peninsula,"Hardwoods (e.g. oak,hickory,elm,aspen)",Shagbark hickory,10/15/2023
60938_2,Prairie Peninsula,"Hardwoods (e.g. oak,hickory,elm,aspen)",White oak,10/15/2023
60938_3,Prairie Peninsula,"Hardwoods (e.g. oak,hickory,elm,aspen)",Swamp white oak,10/15/2023
60938_4,Prairie Peninsula,"Conifers (e.g. pine,spruce,fir,cypress)",Norway spruce,10/15/2023
60938_5,Prairie Peninsula,"Conifers (e.g. pine,spruce,fir,cypress)",Eastern hemlock,10/15/2023
60938_6,Prairie Peninsula,"Conifers (e.g. pine,spruce,fir,cypress)",White pine,10/16/2023
60933_11,Prairie Peninsula,,,10/22/2023
60933_12,Prairie Peninsula,,,10/22/2023
60933_13,Prairie Peninsula,,,10/22/2023
60933_14,Prairie Peninsula,,,10/22/2023
60933_15,Prairie Peninsula,,,10/22/2023
60933_16,Prairie Peninsula,,,10/22/2023
60933_17,Prairie Peninsula,,,10/22/2023
60933_18,Prairie Peninsula,,,10/22/2023
60933_19,Prairie Peninsula,,,10/22/2023
60933_20,Prairie Peninsula,,,10/22/2023
60880_3,Ozarks Complex,,Prarie at border of agricultural land,10/22/2023
60932_1,Mid Atlantic,"Marshlands (grass,sedges,rushes)",Spartina,10/29/2023
60932_2,Mid Atlantic,"Marshlands (grass,sedges,rushes)",Phragmite,10/29/2023
60932_3,Mid Atlantic,Intermixed Hardwood and Conifers,Pines,10/29/2023
60932_4,Mid Atlantic,"Marshlands (grass,sedges,rushes)",,10/29/2023
60932_5,Mid Atlantic,Swamp (permanent or semi-permanent water body dominated by woody plants),,10/29/2023
60932_6,Mid Atlantic,Intermixed Hardwood and Conifers,,10/29/2023
60946_2,Mid Atlantic,"Marshlands (grass,sedges,rushes)",Deciduous Forest,10/30/2023
60946_1,Pacific Northwest,"Marshlands (grass,sedges,rushes)",Deciduous Forest,11/6/2023
60880_2,Southern Plains,,Prarie,11/6/2023
60880_1,Southeast,,Grass/Pasture,11/7/2023
60923_1,Southern Plains,,Switchgrass - Kanlow,11/8/2023
60923_2,Southern Plains,,Switchgrass - Blackwell,11/8/2023
60923_3,Southern Plains,,Switchgrass - Blackwell,11/8/2023
60923_4,Southern Plains,,Switchgrass - Kanlow,11/8/2023
60923_5,Southern Plains,,Switchgrass - Blackwell,11/8/2023
60923_6,Southern Plains,,Switchgrass - Kanlow,11/8/2023
60923_7,Southern Plains,,,11/8/2023
60921_3,Pacific Northwest,"Conifers (e.g. pine,spruce,fir,cypress)",Douglas-fir,12/9/2023
60921_4,Pacific Northwest,"Conifers (e.g. pine,spruce,fir,cypress)",Douglas-fir,12/9/2023
60880_4,Ozarks Complex,"Conifers (e.g. pine,spruce,fir,cypress)",Longleaf Pine,12/10/2023
